date,close,ticker
,SPY,
2018-01-02,237.90914916992188,SPY
2018-01-03,239.4139404296875,SPY
2018-01-04,240.4230499267578,SPY
2018-01-05,242.0252227783203,SPY
2018-01-08,242.46786499023438,SPY
2018-01-09,243.01663208007812,SPY
2018-01-10,242.64491271972656,SPY
2018-01-11,244.41513061523438,SPY
2018-01-12,246.00851440429688,SPY
2018-01-16,245.16761779785156,SPY
2018-01-17,247.5044403076172,SPY
2018-01-18,247.08848571777344,SPY
2018-01-19,248.212646484375,SPY
2018-01-22,250.23080444335938,SPY
2018-01-23,250.761962890625,SPY
2018-01-24,250.66448974609375,SPY
2018-01-25,250.77076721191406,SPY
2018-01-26,253.6741485595703,SPY
2018-01-29,251.9923858642578,SPY
2018-01-30,249.40768432617188,SPY
2018-01-31,249.53160095214844,SPY
2018-02-01,249.2482147216797,SPY
2018-02-02,243.8221435546875,SPY
2018-02-05,233.6248779296875,SPY
2018-02-06,238.2278594970703,SPY
2018-02-07,236.93551635742188,SPY
2018-02-08,228.0482940673828,SPY
2018-02-09,231.47389221191406,SPY
2018-02-12,234.873046875,SPY
2018-02-13,235.45721435546875,SPY
2018-02-14,238.635009765625,SPY
2018-02-15,241.68003845214844,SPY
2018-02-16,241.7508544921875,SPY
2018-02-20,240.2371368408203,SPY
2018-02-21,239.0421600341797,SPY
2018-02-22,239.3519744873047,SPY
2018-02-23,243.16705322265625,SPY
2018-02-26,245.99082946777344,SPY
2018-02-27,242.91920471191406,SPY
2018-02-28,240.4584503173828,SPY
2018-03-01,236.96206665039062,SPY
2018-03-02,238.18357849121094,SPY
2018-03-05,240.93643188476562,SPY
2018-03-06,241.54722595214844,SPY
2018-03-07,241.45870971679688,SPY
2018-03-08,242.62718200683594,SPY
2018-03-09,246.84945678710938,SPY
2018-03-12,246.53965759277344,SPY
2018-03-13,244.9462890625,SPY
2018-03-14,243.68936157226562,SPY
2018-03-15,243.42381286621094,SPY
2018-03-16,243.68775939941406,SPY
2018-03-19,240.39064025878906,SPY
2018-03-20,240.7994384765625,SPY
2018-03-21,240.3372802734375,SPY
